com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO plants(id,name,unitType) VALUES(** NOT SPECIFIED **,** NOT SPECIFIED **,** NOT SPECIFIED **)
INSERT INTO plants(id,name,unitType) VALUES(5,plant5,mass)
INSERT INTO plants(id,name,unitType) VALUES(6,plant6,mass)
INSERT INTO plants(id,name,unitType) VALUES(7,plant7,mass)
INSERT INTO plants(id,name,unitType) VALUES(8,plant8,mass)
INSERT INTO plants(id,name,unitType) VALUES(9,plant9,mass)
INSERT INTO plants(id,name,unitType) VALUES(10,plant10,mass)
INSERT INTO plants(id,name,unitType) VALUES(11,plant11,mass)
INSERT INTO plants(id,name,unitType) VALUES(12,plant12,mass)
INSERT INTO plants(id,name,unitType) VALUES(13,plant13,mass)
INSERT INTO plants(id,name,unitType) VALUES(14,plant14,mass)
INSERT INTO plants(id,name,unitType) VALUES(15,plant15,mass)
INSERT INTO plants(id,name,unitType) VALUES(16,plant16,mass)
INSERT INTO plants(id,name,unitType) VALUES(17,plant17,mass)
INSERT INTO plants(id,name,unitType) VALUES(18,plant18,mass)
INSERT INTO plants(id,name,unitType) VALUES(19,plant19,mass)
INSERT INTO plants(id,name,unitType) VALUES(20,plant20,mass)
INSERT INTO plants(id,name,unitType) VALUES(21,plant21,mass)
INSERT INTO plants(id,name,unitType) VALUES(22,plant22,mass)
INSERT INTO plants(id,name,unitType) VALUES(23,plant23,mass)
INSERT INTO plants(id,name,unitType) VALUES(24,plant24,mass)
INSERT INTO plants(id,name,unitType) VALUES(25,plant25,mass)
INSERT INTO plants(id,name,unitType) VALUES(26,plant26,mass)
INSERT INTO plants(id,name,unitType) VALUES(27,plant27,mass)
INSERT INTO plants(id,name,unitType) VALUES(28,plant28,mass)
INSERT INTO plants(id,name,unitType) VALUES(29,plant29,mass)
INSERT INTO plants(id,name,unitType) VALUES(30,plant30,mass)
INSERT INTO plants(id,name,unitType) VALUES(31,plant31,mass)
INSERT INTO plants(id,name,unitType) VALUES(32,plant32,mass)
INSERT INTO plants(id,name,unitType) VALUES(33,plant33,mass)
INSERT INTO plants(id,name,unitType) VALUES(34,plant34,mass)
INSERT INTO plants(id,name,unitType) VALUES(35,plant35,mass)
INSERT INTO plants(id,name,unitType) VALUES(36,plant36,mass)
INSERT INTO plants(id,name,unitType) VALUES(37,plant37,mass)
INSERT INTO plants(id,name,unitType) VALUES(38,plant38,mass)
INSERT INTO plants(id,name,unitType) VALUES(39,plant39,mass)
INSERT INTO plants(id,name,unitType) VALUES(40,plant40,mass)
